co,no,no2,o3,so2,pm2_5,pm10,nh3,aqi
1121.52,2.49,15.59,6.62,7.03,51.11,60.88,6.21,5
767.71,1.48,12,32.9,8.46,36.26,42.39,3.52,4
727.65,1.41,10.11,51.5,8.35,35.83,41.03,3.23,4
727.65,1.03,8.82,77.25,8.94,39.41,44.5,3.58,4
761.03,0.59,7.37,103,9.18,46.39,51.56,3.99,4
834.47,0.42,8.23,117.3,10.25,56.73,62.18,5,5
881.2,0.26,9.94,118.73,10.97,62.78,67.93,5.89,5
934.6,0.26,12.85,117.3,11.8,66.6,71.7,7.28,5
934.6,0.34,13.02,123.02,12.64,68.82,73.47,6.9,5
894.55,0.3,11.14,125.89,12.16,66.43,70.27,5.64,5
921.25,0.28,11.82,115.87,11.21,66.58,70.46,6.46,5
1028.06,0.11,15.42,94.41,10.13,70.53,75.64,7.66,5
1108.17,0,17.82,72.24,8.58,70.44,77.07,7.35,5
1134.87,0,17.65,59.37,7.09,66.22,73.87,6.97,5
1094.82,0,16.28,53.64,5.84,59.26,67.47,6.84,5
1041.41,0,15.25,50.07,5.42,52.45,61.14,6.71,5
1001.36,0,14.22,46.49,5.19,46.71,55.42,6.33,4
961.3,0,13.54,40.41,4.65,42.92,51.2,5.95,4
947.95,0,13.2,33.62,4.23,40.21,47.8,5.7,4
934.6,0,13.37,26.82,4.17,38.79,45.92,5.57,4
947.95,0.01,14.05,20.21,4.35,38.7,45.59,5.64,4
947.95,0.02,14.74,14.48,4.53,38.8,45.16,5.7,4
947.95,0.07,15.25,9.84,4.89,38.12,44.44,5.64,4
921.25,0.16,15.42,6.88,5.48,35.95,42.58,5.51,4
854.49,2.1,12.68,11.62,6.44,32.1,38.78,5.13,4
741.01,2.54,10.03,30.04,6.5,26.6,32.58,4.02,4
727.65,1.58,9.94,49.35,6.44,27.04,32.82,3.93,4
700.95,0.67,9.08,65.8,6.32,27.81,33.36,4.12,4
614.17,0.27,6.94,70.1,5.19,23.11,27.49,3.71,3
574.11,0.2,5.66,70.81,4.53,20.84,24.23,3.55,3
580.79,0.15,5.36,75.1,4.35,21.6,24.55,3.83,3
607.49,0.19,5.57,81.54,4.77,24.61,27.39,4.18,3
634.19,0.27,5.91,89.41,5.36,29.27,31.99,4.56,4
654.22,0.31,6.34,95.84,5.72,32.99,35.67,4.81,4
720.98,0.35,8.82,88.69,6.08,36.75,39.75,6.02,4
814.44,0.14,13.37,73.67,6.91,40.54,44.24,7.09,4
894.55,0,16.28,62.23,7.99,43.42,47.93,7.28,4
934.6,0,16.97,55.79,8.46,45.1,50.18,7.6,4
974.66,0,17.14,47.92,7.57,47.46,53.43,7.73,4
1041.41,0,17.82,42.2,6.68,51.77,58.97,7.47,5
1121.52,0,18.17,39.34,5.84,56.69,65.11,7.09,5
1161.58,0,17.65,37.55,4.83,59.59,68.81,6.65,5
1148.22,0,15.94,36.12,4.11,59.36,68.07,6.33,5
1134.87,0,14.74,33.98,3.93,58.54,65.88,6.14,5
1134.87,0,14.22,31.47,3.93,59.15,65.78,5.95,5
1134.87,0,13.71,29.68,3.99,59.91,65.86,5.76,5
1121.52,0,13.37,27.54,4.17,58.94,64.52,5.64,5
1068.12,0.01,13.02,23.6,4.47,54.71,60.59,5.57,5
974.66,0.78,11.65,21.99,5.13,45.42,51.52,5.32,4
781.06,1.68,8.82,30.76,5.19,30.73,35.51,4.31,4
707.63,1.7,8.65,38.98,5.48,25.41,29.57,4.24,4
654.22,1.17,8.4,52.93,5.84,23.48,27.64,4.69,3
547.41,0.55,5.91,66.52,4.71,18.23,21.64,4.12,2
494,0.27,4.8,68.67,3.99,15.07,17.66,3.9,2
480.65,0.13,4.93,65.8,3.58,13.32,15.43,4.05,2
487.33,0.19,5.31,62.23,3.49,12.47,14.25,4.18,2
507.36,0.41,5.48,67.95,4.05,14.04,15.8,4.43,2
520.71,0.5,5.66,75.1,4.59,16.07,17.86,4.56,2
607.49,0.66,9,71.53,5.78,20.32,22.77,6.21,3
754.36,0.33,15.77,55.08,7.27,26.26,30.05,7.47,4
894.55,0,20.39,41.49,8.23,31.8,37.16,7.03,4
961.3,0,20.91,36.48,7.99,36,42.73,6.65,4
1001.36,0,20.05,31.83,7.21,38.65,46.81,6.65,4
1041.41,0,19.71,26.11,6.56,40.79,50.22,6.59,4
1054.76,0.01,19.02,22.35,5.96,41.18,51.18,6.4,4
1028.06,0,17.48,22.17,5.25,39.5,48.79,6.02,4
1014.71,0,15.94,23.6,4.77,38.29,46.4,5.83,4
1014.71,0,15.25,22.17,4.59,39.39,46.48,5.76,4
1068.12,0.02,15.77,16.27,4.47,42.4,49.53,6.08,4
1094.82,0.07,16.62,10.82,4.53,45.06,52.32,6.59,4
1108.17,0.16,17.14,6.88,4.83,46.08,53.62,6.84,4
1054.76,0.3,17.14,5.01,5.72,44.46,52.46,6.52,4
974.66,2.04,15.25,10.19,7.75,40.33,48.43,5.95,4
807.76,2.04,12.51,30.4,8.35,33.26,39.56,4.43,4
767.71,1.51,10.54,52.93,7.99,33.05,38.63,4.18,4
747.68,0.89,8.48,84.4,8.23,37.17,42.67,4.31,4
660.9,0.42,5.27,103,6.8,33.63,37.86,3.77,4
587.46,0.23,4.16,101.57,5.66,27.25,30.39,3.42,4
567.44,0.15,4.46,97.28,5.48,24.98,27.81,3.52,3
567.44,0.16,5.27,92.98,5.9,25.55,28.16,3.8,4
600.82,0.14,6.51,91.55,6.74,27.71,30.19,4.43,4
634.19,0.09,7.71,87.98,7.39,28.3,30.72,5.13,4
714.3,0.05,11.65,72.24,7.87,29.49,32.23,7.54,4
867.84,0.02,18.51,48.64,8.46,33.17,37.11,10.26,4
1001.36,0,23.65,31.11,8.7,37.05,42.66,10.51,4
1081.47,0,24.68,21.82,7.99,39.43,46.94,9.63,4
1081.47,0.01,23.65,16.99,7.09,39.61,48.88,8.74,4
1068.12,0.02,22.96,14.13,6.91,38.29,48.61,7.98,4
1028.06,0.04,22.28,11.62,7.09,36.1,46.55,7.22,4
988.01,0.07,22.28,8.4,6.91,35.34,45.56,6.52,4
907.9,0.05,20.22,8.4,6.32,33.15,41.99,5.76,4
781.06,0.02,15.77,12.34,5.19,29.06,35.86,4.94,4
687.6,0.01,12.17,16.09,4.23,26.02,31.19,4.43,4
647.54,0.01,10.37,18.24,3.76,25.03,29.36,4.37,4
647.54,0.01,9.6,19.13,3.52,25.6,29.63,4.43,4
654.22,0.01,9.17,20.56,3.64,27.4,31.47,4.43,4
687.6,0.47,8.65,25.75,4.05,31.51,35.97,4.5,4
700.95,0.79,7.37,40.77,3.99,36.75,41.43,4.18,4
714.3,0.73,6.34,60.8,4.05,40.27,45.02,4.37,4
720.98,0.48,4.97,87.26,4.35,44.13,48.86,4.81,4
667.57,0.24,3.09,103,3.87,38.79,42.41,3.99,4
627.52,0.15,2.7,103,3.61,31.68,34.24,3.55,4
607.49,0.11,3,98.71,3.82,27.92,29.79,3.48,4
600.82,0.1,3.6,92.98,4.41,24.49,25.98,3.55,3
574.11,0.13,4.28,80.82,4.95,20.41,21.65,3.58,3
534.06,0.16,5.14,64.37,4.89,16.6,17.63,3.42,2
514.03,0.16,6.68,47.92,4.65,14.42,15.41,3.45,2
540.73,0.06,9.77,33.62,5.36,14.65,15.95,3.71,2
574.11,0,11.82,25.03,5.9,14.97,16.72,3.58,2
607.49,0,12.51,21.46,5.84,15.46,17.97,3.9,2
627.52,0.01,12.85,19.13,5.84,15.81,19.38,4.43,2
654.22,0.01,12.85,16.81,5.84,16.28,20.61,4.69,2
660.9,0.02,12.68,14.13,5.78,16.71,21.23,4.62,2
654.22,0.03,12.51,11.36,5.54,17.1,21.47,4.5,2
647.54,0.04,12.17,9.39,5.36,17.38,21.62,4.5,2
640.87,0.06,12,8.05,5.25,17.58,21.74,4.56,2
634.19,0.09,12,7.24,5.01,17.87,21.89,4.75,2
634.19,0.12,12.17,6.8,4.77,18.12,21.85,5,2
634.19,0.13,12.51,6.35,4.71,18.21,21.88,5.13,2
614.17,0.13,12.51,6.71,4.95,17.44,21.14,4.88,2
574.11,0.24,11.31,9.03,5.13,15.31,18.5,4.18,2
473.98,0.24,8.31,15.74,4.11,9.94,11.98,2.82,1
447.27,0.29,7.88,17.7,4.17,8.01,9.74,2.82,1
447.27,0.34,8.65,17.52,5.07,8.13,10.1,3.33,1
467.3,0.42,9,17.7,5.42,8.07,9.74,3.04,1
460.63,0.33,8.82,20.21,5.96,8.4,9.62,2.79,1
460.63,0.24,8.4,24.32,6.2,8.33,9.28,2.6,1
447.27,0.17,7.37,30.04,5.66,7.82,8.83,2.72,1
433.92,0.15,6.86,32.19,5.25,7.03,8.12,2.98,1
427.25,0.14,6.77,31.11,4.83,6.41,7.54,3.23,1
440.6,0.18,7.37,28.61,4.47,6.4,7.69,3.74,1
473.98,0.04,9.43,23.25,4.65,7.35,9.22,4.56,1
514.03,0.01,10.8,19.13,4.83,8.8,11.35,5,1
534.06,0.01,10.97,16.27,4.53,10.06,13.07,4.94,2
547.41,0.01,10.45,14.31,4.17,10.74,14.02,4.5,2
554.09,0.02,9.94,12.7,3.87,11.19,14.63,4.18,2
547.41,0.02,9.34,11.8,3.61,11.13,14.56,3.99,2
527.38,0.02,8.65,11.8,3.31,10.42,13.6,3.77,2
507.36,0.02,8.23,12.34,3.25,9.65,12.51,3.55,1
494,0.02,8.82,12.52,3.7,9.77,12.56,3.61,1
500.68,0.03,9.85,11.44,4.05,10.75,13.72,3.96,2
500.68,0.04,10.37,10.82,4.11,11.32,14.48,4.31,2
500.68,0.04,10.71,11,4.11,11.61,14.97,4.56,2
487.33,0.03,10.97,12.88,4.53,11.19,14.69,4.5,2
460.63,0.12,10.71,19.31,5.07,10.17,13.49,4.18,2
387.19,0.15,9,32.54,4.53,7.38,9.9,3.55,1
360.49,0.21,8.57,35.76,4.59,5.95,8.22,3.8,1
353.81,0.26,7.88,37.91,4.71,5.09,7.32,4.12,1
337.12,0.2,6.68,42.2,4.47,4.38,5.97,3.29,1
333.79,0.12,6.77,45.42,4.83,5.5,6.72,2.72,1
333.79,0.05,6.51,47.92,4.89,6.08,6.97,2.22,1
353.81,0.12,6.94,48.64,5.48,7.34,8.21,2.12,1
373.84,0.2,7.54,47.92,5.96,8.05,8.99,2.15,1
387.19,0.2,8.4,44.35,6.44,8.16,9.22,2.28,1
447.27,0.19,11.48,35.41,7.09,9.73,11.45,3.23,1
560.76,0.09,16.97,23.6,8.11,12.94,15.95,4.37,2
654.22,0.05,20.74,14.66,8.58,16.27,20.87,5.26,2
720.98,0.11,21.76,10.1,8.23,19.07,25.2,6.08,2
754.36,0.16,21.25,7.87,7.51,21.09,28.78,6.4,3
774.38,0.25,20.74,5.99,7.03,22.99,31.99,6.46,3
794.41,0.36,20.22,4.65,6.56,24.09,33.81,6.27,3
774.38,0.31,18.85,4.47,5.72,23.7,32.99,5.89,3
747.68,0.19,17.14,5.41,4.89,22.7,30.87,5.51,3
720.98,0.12,15.42,6.44,4.29,21.95,29.05,5.19,3
707.63,0.11,14.4,6.88,3.93,21.72,28.41,5.07,3
687.6,0.11,13.54,7.42,3.67,21.32,27.93,5,3
660.9,0.09,12.85,8.49,3.58,20.4,27.26,4.94,3
627.52,0.07,12.68,10.19,3.87,18.98,26.55,4.88,2
594.14,0.17,12.85,12.88,4.65,17.52,25.75,4.69,2
507.36,0.17,11.48,20.39,4.65,13.6,19.6,3.52,2
487.33,0.2,11.65,21.82,4.77,12.38,16.16,3.17,2
473.98,0.17,11.48,23.96,4.95,11.75,14.42,3.07,2
433.92,0.14,9.6,30.4,4.53,9.74,11.57,2.63,1
423.91,0.15,8.57,36.12,4.59,8.93,10.38,2.47,1
413.9,0.19,7.63,42.92,4.77,8.79,10.07,2.41,1
410.56,0.3,7.45,48.64,5.31,9.86,11.17,2.53,1
420.57,0.3,8.14,50.07,5.84,11.23,12.67,2.79,2
440.6,0.34,8.91,49.35,5.96,12.19,13.68,3.04,2
554.09,0.5,12.85,37.91,5.84,15.82,18.3,4.62,2
781.06,0.31,21.42,20.03,6.44,22.94,27.73,7.22,3
988.01,0.45,27.08,9.21,7.33,30.78,38.55,9.88,4
1108.17,0.75,28.1,5.81,7.63,36.93,46.81,11.65,4
1094.82,0.45,25.71,7.06,6.68,38.52,48.99,10.01,4
1028.06,0.18,22.96,9.84,5.96,37.7,48.51,8.36,4
988.01,0.07,20.91,11.98,5.48,36.87,47.91,7.28,4
974.66,0.05,19.36,12.7,4.95,36.8,47.61,6.71,4
947.95,0.03,17.65,13.05,4.59,36.36,46.25,6.33,4
934.6,0.03,16.45,12.52,4.59,36.1,44.97,6.02,4
907.9,0.04,15.77,11.44,4.77,35.6,42.59,5.64,4
881.2,0.05,15.59,10.55,5.13,35.21,40.93,5.26,4
867.84,0.07,16.45,8.94,5.96,35.33,40.56,5,4
867.84,0.13,17.65,6.97,7.15,35.66,41.13,5,4
854.49,0.78,17.31,8.32,8.58,34.31,39.87,4.88,4
720.98,1.08,13.37,19.85,8.11,25.52,29.63,3.74,4
660.9,1.08,11.14,29.68,7.75,20.61,24.22,3.64,3
620.84,0.85,9.34,44.7,7.87,18.59,22.05,3.86,2
567.44,0.47,6.86,59.37,7.09,17.36,20.15,3.55,2
554.09,0.36,5.57,71.53,6.97,20.45,23.17,3.52,3
580.79,0.34,5.23,85.83,7.63,26.73,29.65,3.93,4
640.87,0.36,6.6,97.28,9.66,35.73,38.77,4.37,4
667.57,0.33,8.48,91.55,10.85,38.86,41.57,4.24,4
660.9,0.22,10.2,76.53,10.73,35.37,37.68,3.64,4
714.3,0.17,13.71,56.51,10.01,33.97,36.55,3.93,4
821.11,0.08,18.68,37.91,9.78,35.6,39.06,4.69,4
907.9,0,22.28,26.11,9.89,37.33,41.81,5.38,4
974.66,0.01,23.31,19.85,9.78,39.21,44.51,5.89,4
1001.36,0.02,23.31,15.74,9.42,40.44,46.08,5.83,4
1028.06,0.06,23.31,11.98,8.94,41.79,47.78,5.64,4
1041.41,0.11,23.31,8.85,8.35,42.25,47.73,5.32,4
1028.06,0.13,22.28,7.33,7.45,40.45,44.88,4.81,4
961.3,0.09,20.22,7.51,6.68,37.15,40.55,4.31,4
867.84,0.06,17.65,8.58,6.14,33.38,36.45,4.12,4
834.47,0.06,16.28,9.3,5.9,32.52,36.01,4.37,4
827.79,0.06,16.11,9.39,5.9,32.91,36.64,4.62,4
821.11,0.07,16.45,8.85,6.26,33.44,37.37,4.69,4
807.76,0.11,16.62,7.87,7.09,32.81,37.16,4.62,4
761.03,1.02,15.25,8.85,8.11,30.36,35.35,4.37,4
680.92,1.76,13.88,12.88,8.58,25.1,29.5,3.58,4
607.49,1.7,13.88,16.81,8.94,20.34,24.06,3.33,3
547.41,1.17,13.37,22.35,8.82,16.49,19.56,3.36,2
460.63,0.55,10.8,31.11,7.63,12.61,14.83,2.85,2
447.27,0.34,9.94,36.84,7.39,12.21,13.89,2.47,2
440.6,0.2,9.43,42.56,7.33,12.46,13.77,2.19,2
427.25,0.15,9,45.06,7.27,12.64,13.79,2.06,2
420.57,0.13,8.65,45.78,7.33,12.65,13.78,2.09,2
410.56,0.08,8.31,44.7,6.91,11.51,12.57,2.01,2
427.25,0.06,9.6,39.34,7.03,10.98,12.16,2.22,2
487.33,0.02,12.85,32.19,8.11,12.4,13.97,2.5,2
540.73,0,15.25,25.39,8.82,14.19,16.27,2.82,2
574.11,0.01,16.28,20.56,9.06,15.72,18.27,3.17,2
600.82,0.02,17.14,15.38,9.18,16.89,19.94,3.42,2
620.84,0.06,17.65,10.91,9.18,17.55,21.22,3.67,2
614.17,0.1,17.31,8.76,8.58,16.86,21.52,4.02,2
574.11,0.09,16.45,8.58,7.87,15.44,20.77,4.12,2
540.73,0.07,15.42,9.12,7.27,14.27,19.45,4.12,2
527.38,0.07,14.74,8.94,6.68,13.81,18.08,3.96,2
534.06,0.1,14.4,7.96,6.2,13.9,17.08,3.83,2
540.73,0.14,14.4,6.88,5.9,14.1,16.61,3.86,2
547.41,0.19,14.22,5.9,5.84,14,16.24,3.86,2
534.06,0.25,14.05,5.23,6.02,13.49,15.88,3.93,2
540.73,1.08,13.54,5.63,6.56,13.23,16.21,4.12,2
547.41,2.29,13.02,7.06,7.21,12.78,16.66,4.37,2
547.41,3.16,13.2,8.23,8.35,12.41,17.22,4.81,2
527.38,3.13,13.2,11.18,9.18,11.57,16.66,5.19,2
407.22,0.58,10.45,19.49,6.97,7.49,10.4,3.64,1
387.19,0.22,9.51,23.6,6.86,7.09,9.11,3.42,1
387.19,0.15,9,28.61,6.8,7.61,9.23,3.45,1
380.52,0.13,8.23,34.33,6.5,8.01,9.37,3.36,1
397.21,0.16,8.74,37.55,6.97,9.06,10.33,3.26,1
417.23,0.24,9.85,36.48,7.57,9.99,11.24,3.14,1
453.95,0.36,11.82,33.62,8.35,11.46,12.85,3.17,2
507.36,0.11,15.59,26.11,9.42,13.29,15.04,3.14,2
540.73,0.01,16.45,19.31,9.18,13.84,15.92,3.01,2
554.09,0.02,15.42,15.74,7.75,13.5,16.08,3.23,2
547.41,0.03,14.4,13.59,6.86,13.13,16.57,3.58,2
540.73,0.04,13.37,12.34,6.26,12.99,17.08,3.74,2
527.38,0.04,12,11.8,5.66,12.53,16.68,3.67,2
500.68,0.03,10.71,12.52,4.95,11.67,15.38,3.58,2
467.3,0.02,9.34,14.48,4.05,10.68,13.78,3.48,2
447.27,0.01,8.05,16.63,3.28,10.03,12.58,3.39,2
440.6,0.01,7.71,17.35,3.04,10.03,12.28,3.45,2
447.27,0.01,7.8,17.17,3.1,10.1,12.21,3.55,2
440.6,0.01,7.8,17.17,3.22,9.86,11.9,3.61,1
427.25,0.01,7.97,17.52,3.58,9.7,11.77,3.67,1
433.92,0.1,8.65,17.52,4.29,10.15,12.5,3.83,2
453.95,0.55,9.6,17.7,5.19,11.06,13.54,3.8,2
480.65,1.29,9.85,19.67,6.02,12.26,14.64,3.58,2
494,1.75,9.08,25.39,6.5,13.69,16.03,3.36,2
494,0.73,9.94,29.33,6.62,14.77,17.15,3.33,2
487.33,0.25,10.28,29.33,6.74,14.76,17.14,3.42,2
487.33,0.19,9.77,32.19,6.8,14.81,16.97,3.48,2
473.98,0.23,7.97,40.05,6.32,14.43,16,3.04,2
467.3,0.17,6.77,47.92,6.02,14.99,16.14,2.76,2
467.3,0.12,6.51,51.5,5.96,15.59,16.65,2.79,2
500.68,0.1,8.48,46.49,6.2,16.56,17.94,3.71,2
560.76,0.04,12.17,35.05,7.09,19.08,21.19,4.56,2
607.49,0,14.57,25.75,7.63,21.02,23.9,4.69,3
627.52,0.01,15.25,20.03,7.45,22.04,25.73,4.81,3
627.52,0.01,14.91,16.99,6.97,21.62,26.05,4.81,3
600.82,0.02,14.22,16.09,6.44,19.91,24.74,4.69,2
560.76,0.01,13.2,16.81,5.72,17.57,22.22,4.5,2
540.73,0.01,12.51,17.35,5.01,16.53,21.05,4.5,2
527.38,0.01,11.65,18.06,4.29,16.19,20.51,4.56,2
514.03,0.01,10.8,18.77,3.73,16.02,20.04,4.5,2
500.68,0.01,10.03,18.95,3.31,15.88,19.53,4.43,2
500.68,0.01,9.51,18.42,3.01,15.9,19.41,4.5,2
500.68,0.01,9.08,17.35,2.86,15.76,19.24,4.56,2
494,0.02,8.74,16.27,2.92,15.32,18.79,4.43,2
480.65,0.27,8.23,16.27,3.1,13.71,17.11,4.12,2
420.57,0.55,6.77,18.06,2.89,9.28,11.87,3.42,1
377.18,0.71,6,20.74,2.89,6.34,8.42,3.42,1
363.83,0.65,5.31,28.97,2.92,5.51,7.38,3.52,1
347.14,0.36,3.94,41.84,2.41,5.51,6.84,2.95,1
367.17,0.2,3.64,50.07,2.33,8.04,9.18,2.88,1
390.53,0.13,3.6,55.08,2.35,11.2,12.26,2.98,2
403.88,0.15,3.6,59.37,2.44,13.65,14.86,3.2,2
410.56,0.17,3.73,60.8,2.56,14.43,15.81,3.52,2
413.9,0.19,4.2,57.94,2.74,13.71,15.13,3.74,2
453.95,0.31,6.34,52.21,3.49,14.98,16.82,4.94,2
534.06,0.23,10.37,43.99,4.71,18.25,21.03,6.21,2
607.49,0,13.37,35.76,5.48,21.25,25.08,6.4,3
680.92,0,14.91,29.33,5.48,24.8,29.86,6.4,3
761.03,0,16.28,22.89,5.07,29.1,35.57,6.52,4
847.82,0.02,17.14,17.52,4.77,33.87,41.75,6.84,4
907.9,0.04,17.82,13.77,4.47,37.63,46.57,7.22,4
934.6,0.05,17.14,12.34,3.79,39.54,48.37,6.97,4
934.6,0.04,15.94,11.8,3.25,40.16,48.17,6.65,4
934.6,0.05,15.08,11.27,2.92,41.22,48.64,6.4,4
961.3,0.06,14.74,10.55,2.92,42.97,50.17,6.27,4
974.66,0.06,14.4,11.09,3.04,45.19,52.23,6.21,4
988.01,0.04,13.88,13.05,3.22,46.37,53.25,6.02,4
974.66,0.03,12.68,16.63,3.73,46.53,53.14,5.76,4
947.95,0.84,10.97,25.75,4.89,44.97,51.3,5.26,4
847.82,1.41,8.31,46.49,5.54,41.21,46.35,4.02,4
867.84,1.29,8.31,67.23,6.44,46.53,51.82,4.37,4
867.84,0.73,7.03,98.71,7.33,55.87,61.24,4.81,5
667.57,0.31,3.86,107.29,5.48,42.58,46.23,3.67,4
560.76,0.23,3.04,103,4.71,30.58,33.02,3.2,4
520.71,0.2,3.13,103,4.83,26.5,28.53,3.2,4
527.38,0.19,3.9,103,5.72,26.86,28.75,3.39,4
547.41,0.2,5.18,100.14,6.91,28.89,30.74,3.77,4
567.44,0.16,6.68,92.98,7.75,28.39,30.14,3.96,4
640.87,0.22,10.54,72.96,8.11,28.97,31.21,5.51,4
774.38,0.16,16.79,51.5,8.58,31.98,35.56,6.97,4
894.55,0,21.25,35.41,8.94,35.09,40.42,7.22,4
988.01,0,22.96,27.54,8.58,38.88,46.34,7.28,4
1041.41,0,22.28,23.96,7.75,42.24,51.69,6.97,4
1081.47,0,21.42,21.64,6.97,45.4,56.22,6.71,4
1121.52,0.01,20.39,20.56,6.32,48.38,59.68,6.46,4
1148.22,0.01,19.19,19.85,5.42,51.49,62.73,6.27,5
1148.22,0,17.48,21.28,4.65,53.24,63.2,6.14,5
1121.52,0,16.11,22.17,4.17,54.55,63.25,6.02,5
1121.52,0.01,15.25,20.92,3.87,55.39,63.24,5.95,5
1108.17,0.01,14.57,19.49,3.73,55.74,63.07,6.02,5
1081.47,0.01,14.05,18.42,3.7,54.51,61.79,6.02,5
1014.71,0.02,13.54,18.24,4.11,51.19,58.97,5.83,5
947.95,0.32,13.54,19.49,5.36,45.91,53.93,5.64,4
827.79,1.2,12.68,25.39,6.91,37.93,45.32,4.94,4
867.84,2.71,13.02,31.47,8.82,39.79,47.29,5.19,4
894.55,2.54,12.85,56.51,10.61,46.85,54.45,5.32,4
607.49,0.62,5.14,85.12,6.8,34.75,38.61,2.88,4
534.06,0.3,3.51,91.55,6.2,32.22,34.96,2.6,4
520.71,0.24,3.81,90.84,6.5,31.16,33.25,2.63,4
514.03,0.28,5.01,87.26,7.27,30.62,32.39,2.85,4
520.71,0.32,6.86,81.54,8.58,30.47,32.26,3.29,4
520.71,0.28,8.57,72.24,9.06,27.19,28.92,3.45,4
614.17,0.35,13.54,50.78,8.58,27.3,29.96,5.13,4
841.14,0.25,22.28,26.82,8.58,32.73,37.74,7.35,4
1068.12,0.24,28.45,12.16,8.94,39.46,47.56,9.25,4
1188.28,0.6,29.47,6.35,8.82,44.69,54.9,10.13,4
1174.93,0.56,26.73,5.9,7.51,44.6,55.5,8.23,4
1041.41,0.28,22.62,7.87,6.2,38.91,49.24,6.65,4
921.25,0.07,19.02,10.73,5.19,31.89,41.05,6.27,4
921.25,0.07,17.48,9.66,4.35,31.72,40.63,5.89,4
867.84,0.03,15.42,11.36,3.87,30.34,38.21,5.32,4
801.09,0.01,13.02,14.84,3.67,28.42,34.85,4.81,4
794.41,0.02,12.68,15.2,3.7,29.58,35.47,5,4
787.74,0.02,12.85,14.66,3.87,30.59,36.34,5.32,4
774.38,0.03,13.2,14.13,4.29,30.93,36.69,5.51,4
741.01,0.04,13.54,14.48,5.01,30.2,36.07,5.38,4
714.3,0.56,13.54,17.35,6.2,29.22,35.32,5.13,4
667.57,1.16,13.02,25.39,7.33,27.33,33.16,4.56,4
707.63,2.01,13.88,29.68,8.58,29.47,35.71,5,4
727.65,2.12,13.88,39.7,9.54,32,38.41,5.45,4
660.9,0.89,10.88,55.79,8.35,30.01,34.5,4.31,4
667.57,0.6,9.51,62.23,7.87,31.29,34.49,3.8,4
667.57,0.45,8.31,64.37,7.03,31.05,33.13,3.26,4
674.25,0.39,8.4,62.23,6.74,30.8,32.39,2.98,4
680.92,0.31,9.08,62.23,7.15,30.14,31.65,3.01,4
674.25,0.21,9.6,62.94,7.57,27.86,29.34,3.01,4
787.74,0.31,14.57,42.92,7.39,29.61,32.11,4.62,4
1041.41,0.36,23.99,18.77,7.75,36.65,41.51,6.71,4
1268.39,0.96,29.82,5.81,8.46,44.37,52.2,9.37,4
1428.6,2.4,30.85,1.77,8.7,52.48,63.23,11.4,5
1415.25,2.04,28.45,1.95,7.57,54.33,66.61,9.12,5
1228.33,0.75,25.02,4.78,6.91,47.98,59.92,7.03,4
1001.36,0.09,20.74,10.1,6.32,37.3,47.5,6.08,4
961.3,0.07,18.17,10.91,4.89,34.84,43.63,5.95,4
947.95,0.04,15.77,12.52,3.93,34.23,41.45,6.02,4
947.95,0.02,14.22,14.31,3.49,35.45,41.85,6.02,4
974.66,0.02,13.71,14.84,3.55,38.05,43.93,6.02,4
988.01,0.02,13.54,14.84,3.79,40.8,46.31,5.95,4
1001.36,0.03,13.54,14.48,4.17,42.38,47.64,5.76,4
974.66,0.05,13.37,14.48,4.83,41.45,46.94,5.64,4
921.25,1.84,11.48,18.6,6.14,38.91,44.62,5.51,4
814.44,3.16,9.94,32.9,7.63,34.02,39.38,5.07,4
834.47,2.88,11.65,52.93,9.3,39.44,45.84,5.95,4
881.2,1.84,12.68,84.4,11.09,52.19,60.05,7.03,5
680.92,0.63,6.94,97.28,8.23,41.31,46.77,4.81,4
600.82,0.3,4.97,98.71,7.03,34.21,38.66,4.05,4
600.82,0.18,5.01,101.57,7.15,32.85,37.17,4.18,4
614.17,0.17,6.26,95.84,7.57,32.79,36.93,4.94,4
627.52,0.17,8.14,85.83,8.11,34.66,38.72,6.27,4
660.9,0.13,9.94,80.11,8.7,37.11,41.26,7.54,4
694.28,0.07,12.17,75.1,9.66,39.06,43.22,8.74,4
734.33,0.02,15.25,65.09,10.49,39.06,43.24,9.5,4
767.71,0,16.97,52.93,9.89,36.84,41.04,8.49,4
794.41,0,16.28,44.35,7.57,35.83,40.38,7.22,4
821.11,0,16.11,35.76,6.2,35.75,41.21,6.52,4
841.14,0,16.45,27.18,6.08,35.44,41.95,5.95,4
847.82,0.01,16.28,20.74,6.02,34.95,41.98,5.64,4
854.49,0.01,15.59,17.35,5.42,35.64,42.62,5.45,4
867.84,0.02,15.08,15.56,4.89,37.87,44.62,5.45,4
881.2,0.03,14.57,13.41,4.53,40.53,47.12,5.57,4
907.9,0.06,14.74,10.55,4.35,42.83,49.02,5.89,4
921.25,0.12,14.91,7.96,4.29,44.35,50.1,6.33,4
934.6,0.21,15.25,5.81,4.41,44.91,50.56,6.59,4
921.25,0.37,15.59,4.16,5.19,43.86,49.99,6.4,4
894.55,2.04,14.4,5.99,6.86,40.96,47.52,6.02,4
774.38,3.1,13.02,13.23,8.46,32.85,38.26,4.69,4
767.71,3.13,14.05,16.63,9.18,30.55,36.24,4.88,4
734.33,2.1,14.91,21.64,9.66,27.88,33.68,5.32,4
547.41,0.69,10.28,34.69,7.09,17.93,21.65,4.18,2
467.3,0.36,7.88,40.77,5.78,13,15.46,3.71,2
